Name	Rank	Recognition Type	Design Format	Issuing Organization	Issuing Person
Alex	1	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Steve	2	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Stacy	3	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Harris	4	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Candice	5	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Laura	6	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Stephenie	7	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Angelina	8	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Carlos	9	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Derek	10	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Will	11	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Tom	12	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Harry	13	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Marcus	14	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Anderson	15	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Cristiano	16	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Neymar	17	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Son	18	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Messi	19	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Verrati	20	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Diera	21	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Kylien	22	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Hakimi	23	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Donnaruma	24	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Cavani	25	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Pele	26	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Maradona	27	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Zlatan	28	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Foden	29	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Ansu Fati	30	                               Gold	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Gavi	31	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Lewandowski	32	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Dembele	33	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Dauglous Costa	34	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Kaka	35	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Lereo Sane	36	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Sadio Mane	37	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Mohemmad Salah	38	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Bonucci	39	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Paulo Dybala	40	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Sergio Arguero	41	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Ramos	42	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Pedri	43	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Mason Mount	44	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Drogba	45	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Pogba	46	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Ozil	47	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Modric	48	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Asensio	49	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Courtious	50	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Van dijk	51	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
De gea	52	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Khedira	53	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Puyol	54	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Iniesta	55	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Busquet	56	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Xavi	57	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Obamayeng	58	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Sterling	59	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
De Bryune	60	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Quaresma	61	                              Silver	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Pepe	62	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Marcelo	63	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Nani	64	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Rooney	65	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Mataudi	66	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Harrykane	67	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Dimaria	68	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Acuna	69	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Marquinhos	70	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Ronaldinho	71	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Zidane	72	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Totti	73	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Kylor Navas	74	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Isco	75	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Lukaku	76	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Juao Felix	77	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Ruben Navas	78	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Giroud	79	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Ngolo Kante	80	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Jesse Lingrad	81	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Chris Smalling	82	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Hulk	83	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Carvalho	84	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Perrera	85	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Bruno Fernandes	86	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Vinicious Jr.	87	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Benzama	88	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Kroos	89	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Gyeue	90	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Sheznik	91	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Mctominay	92	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Sancho	93	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Berbotov	94	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Martin tylor	95	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Stewart Robsen	96	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Andy Grey	97	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Reberi	98	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Abidal	99	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
Nkunku	100	                           Bronze	Bold and Decorative borders	Web3Nest Metaverse	Mayank Sharma
